Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
20,PHI,2025-06-04,@,TOR,"L, 1-2",33,31,1,5,4,0,0,1,1,0,0,2,8,.161,.212,.258,.470,8,1,0,0,0,0
21,PIT,2025-06-04,,HOU,"W, 3-0",33,29,3,8,6,2,0,0,2,2,0,2,7,.276,.333,.345,.678,10,2,1,0,1,0
22,SDP,2025-06-04,@,SFG,"L, 5-6",41,39,5,12,9,2,1,0,5,3,1,2,6,.308,.341,.410,.752,16,0,0,0,0,0
23,SEA,2025-06-04,,BAL,"L, 2-3",34,29,2,5,4,1,0,0,2,1,0,3,11,.172,.265,.207,.472,6,1,1,0,1,0
24,SFG,2025-06-04,,SDP,"W, 6-5",34,31,6,8,3,4,0,1,6,1,0,2,6,.258,.294,.484,.778,15,0,0,0,1,0
25,TBR,2025-06-04,,TEX,"W, 5-4",35,31,5,8,5,2,0,1,4,2,0,3,12,.258,.343,.419,.762,13,1,1,0,0,0
26,TEX,2025-06-04,@,TBR,"L, 4-5",39,37,4,8,5,2,0,1,4,0,0,2,11,.216,.256,.351,.608,13,0,0,0,0,0
27,TOR,2025-06-04,,PHI,"W, 2-1",31,31,2,5,4,0,1,0,2,1,0,0,4,.161,.161,.226,.387,7,0,0,0,0,0
28,WSN,2025-06-04,,CHC,"W, 2-0",28,27,2,4,2,1,0,1,2,1,1,1,6,.148,.179,.296,.475,8,0,0,0,0,0
29,LAA,2025-06-03,@,BOS,"W, 4-3 (10)",41,36,4,7,7,0,0,0,3,1,1,3,6,.194,.275,.194,.469,7,1,1,1,0,0
30,ARI,2025-06-03,@,ATL,"W, 8-3",39,35,8,11,6,1,0,4,8,1,1,4,7,.314,.385,.686,1.070,24,1,0,0,0,0
31,ATL,2025-06-03,,ARI,"L, 3-8",35,34,3,6,5,0,0,1,2,0,0,1,5,.176,.200,.265,.465,9,0,0,0,0,0
32,BAL,2025-06-03,@,SEA,"W, 5-1",39,36,5,13,11,1,0,1,5,0,0,2,4,.361,.385,.472,.857,17,3,0,0,1,0
33,BOS,2025-06-03,,LAA,"L, 3-4 (10)",43,36,3,10,5,4,0,1,3,2,0,7,10,.278,.395,.472,.868,17,3,0,0,0,1
34,CHC,2025-06-03,@,WSN,"W, 8-3",42,34,8,9,5,2,1,1,8,3,0,5,9,.265,.333,.471,.804,16,0,0,0,3,0
35,CHW,2025-06-03,,DET,"W, 8-1",39,33,8,10,8,1,0,1,8,1,1,6,9,.303,.410,.424,.834,14,1,0,0,0,0
36,CIN,2025-06-03,,MIL,"W, 4-2",36,30,4,8,3,3,0,2,4,0,0,5,10,.267,.361,.567,.928,17,1,0,0,1,1
37,CLE,2025-06-03,@,NYY,"L, 2-3",35,33,2,7,6,1,0,0,2,3,0,2,9,.212,.257,.242,.500,8,0,0,0,0,0
38,COL,2025-06-03,@,MIA,"W, 3-2",37,34,3,7,5,1,0,1,3,2,0,1,5,.206,.243,.324,.567,11,0,1,0,1,0
39,DET,2025-06-03,@,CHW,"L, 1-8",37,33,1,7,6,1,0,0,1,0,0,4,10,.212,.297,.242,.540,8,1,0,0,0,0
40,MIA,2025-06-03,,COL,"L, 2-3",36,31,2,6,6,0,0,0,2,1,0,4,3,.194,.286,.194,.479,6,1,0,1,0,0
41,HOU,2025-06-03,@,PIT,"W, 3-0",33,32,3,5,2,1,0,2,3,1,0,1,8,.156,.182,.375,.557,12,1,0,0,0,0
42,KCR,2025-06-03,@,STL,"W, 10-7",42,39,10,13,10,1,0,2,10,1,0,2,5,.333,.366,.513,.879,20,0,0,1,0,0
43,LAD,2025-06-03,,NYM,"W, 6-5 (10)",39,35,6,7,2,3,0,2,6,0,0,4,12,.200,.282,.457,.739,16,0,0,0,0,1
44,MIL,2025-06-03,@,CIN,"L, 2-4",36,33,2,5,3,1,0,1,2,0,0,3,9,.152,.222,.273,.495,9,0,0,0,0,0
45,MIN,2025-06-03,@,ATH,"W, 10-3",46,39,10,12,7,2,0,3,9,0,0,5,14,.308,.413,.590,1.003,23,0,2,0,0,0
46,NYM,2025-06-03,@,LAD,"L, 5-6 (10)",41,38,5,8,5,2,0,1,5,0,0,3,6,.211,.268,.342,.610,13,1,0,0,0,0
47,NYY,2025-06-03,,CLE,"W, 3-2",32,29,3,5,3,0,0,2,3,0,1,3,6,.172,.250,.379,.629,11,0,0,0,0,0
48,ATH,2025-06-03,,MIN,"L, 3-10",37,32,3,7,2,4,1,0,3,0,0,4,10,.219,.297,.406,.704,13,0,0,0,1,0
49,PHI,2025-06-03,@,TOR,"W, 8-3",43,38,8,11,8,0,0,3,7,0,0,4,10,.289,.372,.526,.898,20,0,1,0,0,0
50,PIT,2025-06-03,,HOU,"L, 0-3",32,29,0,4,4,0,0,0,0,1,2,1,9,.138,.194,.138,.331,4,0,1,0,0,0
51,SDP,2025-06-03,@,SFG,"W, 3-2 (10)",45,38,3,10,10,0,0,0,3,1,0,6,8,.263,.378,.263,.641,10,1,1,0,0,0
52,SEA,2025-06-03,,BAL,"L, 1-5",33,32,1,7,6,0,0,1,1,0,0,1,8,.219,.242,.313,.555,10,2,0,0,0,0
53,SFG,2025-06-03,,SDP,"L, 2-3 (10)",38,34,2,6,3,2,0,1,2,0,0,3,4,.176,.243,.324,.567,11,1,0,1,0,0
54,STL,2025-06-03,,KCR,"L, 7-10",44,39,7,12,7,3,0,2,6,0,0,5,8,.308,.386,.538,.925,21,0,0,0,0,0
55,TBR,2025-06-03,,TEX,"W, 5-1",34,32,5,8,6,0,0,2,3,2,0,2,9,.250,.294,.438,.732,14,0,0,0,0,0
56,TEX,2025-06-03,@,TBR,"L, 1-5",32,31,1,4,4,0,0,0,1,0,0,1,12,.129,.156,.129,.285,4,0,0,0,0,0
57,TOR,2025-06-03,,PHI,"L, 3-8",37,31,3,5,3,0,0,2,3,0,0,6,7,.161,.297,.355,.652,11,1,0,0,0,0
58,WSN,2025-06-03,,CHC,"L, 3-8",34,32,3,8,5,3,0,0,3,1,1,1,4,.250,.265,.344,.608,11,1,0,0,1,0
59,LAA,2025-06-02,@,BOS,"W, 7-6",38,35,7,8,4,0,0,4,7,0,0,3,5,.229,.289,.571,.861,20,2,0,0,0,0
60,BOS,2025-06-02,,LAA,"L, 6-7",41,38,6,11,5,5,0,1,6,0,0,3,10,.289,.341,.500,.841,19,0,0,0,0,0
61,CHW,2025-06-02,,DET,"L, 1-13",33,30,1,5,3,2,0,0,1,0,0,2,5,.167,.242,.233,.476,7,2,1,0,0,0
62,CIN,2025-06-02,,MIL,"L, 2-3",36,34,2,8,7,1,0,0,2,0,0,2,11,.235,.278,.265,.542,9,1,0,0,0,0
63,COL,2025-06-02,@,MIA,"W, 6-4",39,38,6,12,7,3,0,2,6,0,1,1,9,.316,.333,.553,.886,21,0,0,0,0,0
64,DET,2025-06-02,@,CHW,"W, 13-1",46,42,13,16,8,2,1,5,13,1,0,4,7,.381,.435,.833,1.268,35,0,0,0,0,0
65,MIA,2025-06-02,,COL,"L, 4-6",40,37,4,11,5,6,0,0,4,0,0,2,8,.297,.325,.459,.784,17,1,0,0,1,0
66,LAD,2025-06-02,,NYM,"L, 3-4 (10)",43,38,3,9,8,0,0,1,3,2,0,4,10,.237,.302,.316,.618,12,1,0,0,1,0
67,MIL,2025-06-02,@,CIN,"W, 3-2",34,30,3,5,3,1,0,1,3,0,0,3,7,.167,.235,.300,.535,9,0,0,0,1,0
68,MIN,2025-06-02,@,ATH,"W, 10-4",47,40,10,14,10,4,0,0,10,1,0,5,5,.350,.426,.450,.876,18,0,1,0,1,0
69,NYM,2025-06-02,@,LAD,"W, 4-3 (10)",41,37,4,8,4,3,0,1,4,1,0,3,8,.216,.293,.378,.671,14,1,1,0,0,1
70,ATH,2025-06-02,,MIN,"L, 4-10",40,32,4,7,4,2,0,1,4,2,0,6,9,.219,.375,.375,.750,12,1,2,0,0,0
71,SDP,2025-06-02,@,SFG,"W, 1-0 (10)",36,33,1,6,4,2,0,0,1,0,1,0,9,.182,.200,.242,.442,8,0,1,1,1,0
72,SFG,2025-06-02,,SDP,"L, 0-1 (10)",41,32,0,5,5,0,0,0,0,2,0,6,10,.156,.325,.156,.481,5,2,2,1,0,1
73,LAA,2025-06-01,@,CLE,"L, 2-4",34,30,2,3,3,0,0,0,2,0,0,3,11,.100,.206,.100,.306,3,1,1,0,0,0
74,ARI,2025-06-01,,WSN,"W, 3-1",32,28,3,3,1,1,0,1,3,0,0,4,5,.107,.219,.250,.469,7,0,0,0,0,0
75,ATL,2025-06-01,,BOS,"L, 1-3",35,32,1,5,3,1,0,1,1,1,0,3,14,.156,.229,.281,.510,9,0,0,0,0,0
76,BAL,2025-06-01,,CHW,"W, 3-2",32,30,3,8,5,2,1,0,3,0,0,1,8,.267,.281,.400,.681,12,0,0,0,1,0
77,BOS,2025-06-01,@,ATL,"W, 3-1",37,34,3,7,5,2,0,0,3,0,0,3,12,.206,.270,.265,.535,9,0,0,0,0,0
78,CHC,2025-06-01,,CIN,"W, 7-3",38,34,7,10,7,2,0,1,7,2,2,3,6,.294,.368,.441,.810,15,0,1,0,0,1
79,CHW,2025-06-01,@,BAL,"L, 2-3",36,33,2,7,5,0,1,1,1,0,0,1,9,.212,.235,.364,.599,12,0,0,1,0,0
80,CIN,2025-06-01,@,CHC,"L, 3-7",33,30,3,4,3,0,0,1,3,0,0,2,6,.133,.182,.233,.415,7,0,0,0,1,0
81,CLE,2025-06-01,,LAA,"W, 4-2",36,29,4,6,5,0,0,1,4,0,0,5,7,.207,.333,.310,.644,9,1,1,0,1,0
82,COL,2025-06-01,@,NYM,"L, 3-5",32,31,3,5,3,0,0,2,3,1,0,0,8,.161,.188,.355,.542,11,1,1,0,0,0
83,DET,2025-06-01,@,KCR,"W, 1-0",34,31,1,5,3,1,1,0,0,0,0,3,10,.161,.235,.258,.493,8,1,0,0,0,0
84,MIA,2025-06-01,,SFG,"L, 2-4",40,35,2,9,7,2,0,0,2,0,0,5,9,.257,.350,.314,.664,11,1,0,0,0,0
85,HOU,2025-06-01,,TBR,"W, 1-0",32,29,1,4,4,0,0,0,1,1,0,3,11,.138,.219,.138,.357,4,0,0,0,0,0
86,KCR,2025-06-01,,DET,"L, 0-1",35,34,0,9,8,1,0,0,0,0,1,1,4,.265,.286,.294,.580,10,1,0,0,0,0
87,LAD,2025-06-01,,NYY,"L, 3-7",32,32,3,6,2,1,0,3,3,0,1,0,10,.188,.188,.500,.688,16,0,0,0,0,0
88,MIL,2025-06-01,@,PHI,"W, 5-2",38,35,5,9,6,3,0,0,4,1,2,2,5,.257,.316,.343,.659,12,0,1,0,0,0
89,MIN,2025-06-01,@,SEA,"L, 1-2",36,31,1,6,6,0,0,0,1,0,1,3,9,.194,.278,.194,.471,6,0,1,0,1,0
90,NYM,2025-06-01,,COL,"W, 5-3",32,29,5,5,1,1,0,3,5,1,0,2,11,.172,.250,.517,.767,15,0,1,0,0,0
91,NYY,2025-06-01,@,LAD,"W, 7-3",46,37,7,11,9,1,0,1,6,3,1,7,11,.297,.435,.405,.840,15,0,2,0,0,0
92,ATH,2025-06-01,@,TOR,"L, 4-8",42,36,4,11,10,1,0,0,4,4,0,3,14,.306,.366,.333,.699,12,0,1,1,1,0
93,PHI,2025-06-01,,MIL,"L, 2-5",37,33,2,6,5,1,0,0,2,3,0,4,5,.182,.270,.212,.482,7,0,0,0,0,0
94,PIT,2025-06-01,@,SDP,"L, 4-6",37,33,4,7,4,1,0,2,4,2,0,4,10,.212,.297,.424,.722,14,0,0,0,0,0
95,SDP,2025-06-01,,PIT,"W, 6-4",36,30,6,8,4,3,0,1,6,0,0,4,6,.267,.343,.467,.810,14,0,0,1,1,0
96,SEA,2025-06-01,,MIN,"W, 2-1",32,31,2,6,4,1,0,1,2,1,0,1,11,.194,.219,.323,.541,10,0,0,0,0,0
97,SFG,2025-06-01,@,MIA,"W, 4-2",37,33,4,8,7,0,0,1,4,4,0,4,8,.242,.324,.333,.658,11,2,0,0,0,0
98,STL,2025-06-01,@,TEX,"L, 1-8",34,31,1,5,5,0,0,0,1,0,1,3,6,.161,.235,.161,.397,5,1,0,0,0,0
99,TBR,2025-06-01,@,HOU,"L, 0-1",32,27,0,2,1,1,0,0,0,0,1,5,9,.074,.219,.111,.330,3,1,0,0,0,0
100,TEX,2025-06-01,,STL,"W, 8-1",38,30,8,9,4,4,0,1,8,3,0,5,6,.300,.378,.533,.912,16,0,0,1,2,0
101,TOR,2025-06-01,,ATH,"W, 8-4",39,36,8,13,8,4,0,1,8,0,0,1,6,.361,.395,.556,.950,20,0,1,0,0,0
102,WSN,2025-06-01,@,ARI,"L, 1-3",36,33,1,6,4,2,0,0,1,1,0,3,13,.182,.250,.242,.492,8,0,0,0,0,0
103,LAA,2025-05-31,@,CLE,"L, 5-7",38,34,5,8,4,1,0,3,5,0,0,4,9,.235,.316,.529,.845,18,0,0,0,0,0
104,ARI,2025-05-31,,WSN,"L, 7-11",39,35,7,10,6,1,1,2,7,0,0,3,6,.286,.359,.543,.902,19,1,1,0,0,0
105,ATL,2025-05-31,,BOS,"W, 5-0",36,34,5,11,7,2,0,2,5,1,0,2,9,.324,.361,.559,.920,19,1,0,0,0,0
106,BAL,2025-05-31,,CHW,"W, 4-2",31,28,4,5,1,2,0,2,4,2,0,3,4,.179,.258,.464,.722,13,0,0,0,0,0
107,BOS,2025-05-31,@,ATL,"L, 0-5",32,32,0,5,5,0,0,0,0,0,0,0,14,.156,.156,.156,.313,5,0,0,0,0,0
108,CHC,2025-05-31,,CIN,"W, 2-0",34,28,2,8,5,3,0,0,2,2,0,5,8,.286,.412,.393,.805,11,3,1,0,0,0
109,CHW,2025-05-31,@,BAL,"L, 2-4",41,35,2,8,6,2,0,0,2,1,0,6,11,.229,.341,.286,.627,10,0,0,0,0,0
110,CIN,2025-05-31,@,CHC,"L, 0-2",29,28,0,1,1,0,0,0,0,0,0,1,11,.036,.069,.036,.105,1,0,0,0,0,0
111,CLE,2025-05-31,,LAA,"W, 7-5",40,36,7,11,5,2,1,3,6,2,0,3,6,.306,.375,.667,1.042,24,0,1,0,0,2
112,COL,2025-05-31,@,NYM,"L, 2-8",33,29,2,3,1,1,0,1,2,0,0,4,9,.103,.212,.241,.454,7,1,0,0,0,0
113,DET,2025-05-31,@,KCR,"L, 0-1",31,29,0,2,2,0,0,0,0,0,0,2,8,.069,.129,.069,.198,2,0,0,0,0,0
114,MIA,2025-05-31,,SFG,"W, 1-0",28,25,1,3,3,0,0,0,1,0,1,3,9,.120,.214,.120,.334,3,1,0,0,0,0
115,HOU,2025-05-31,,TBR,"L, 3-16",37,35,3,10,8,0,0,2,3,0,0,1,6,.286,.324,.457,.781,16,2,1,0,0,0
116,KCR,2025-05-31,,DET,"W, 1-0",27,27,1,4,3,1,0,0,1,0,1,0,7,.148,.148,.185,.333,5,0,0,0,0,0
117,LAD,2025-05-31,,NYY,"W, 18-2",51,43,18,21,11,5,0,5,18,0,0,7,5,.488,.549,.953,1.503,41,1,0,0,1,0
118,MIL,2025-05-31,@,PHI,"W, 17-7",51,48,17,23,16,4,0,3,16,1,0,3,7,.479,.510,.750,1.260,36,1,0,0,0,0
119,MIN,2025-05-31,@,SEA,"L, 4-5 (11)",48,42,4,12,8,3,0,1,4,1,0,3,11,.286,.375,.429,.804,18,1,3,0,0,0
120,NYM,2025-05-31,,COL,"W, 8-2",38,34,8,11,7,0,1,3,8,2,0,4,7,.324,.395,.647,1.042,22,3,0,0,0,0
121,NYY,2025-05-31,@,LAD,"L, 2-18",35,31,2,7,3,2,0,2,2,0,0,4,9,.226,.314,.484,.798,15,1,0,0,0,0
122,ATH,2025-05-31,@,TOR,"L, 7-8",41,36,7,11,7,1,0,3,7,0,1,5,7,.306,.390,.583,.974,21,1,0,0,0,0
123,PHI,2025-05-31,,MIL,"L, 7-17",37,37,7,10,5,2,1,2,7,0,0,0,8,.270,.270,.541,.811,20,0,0,0,0,0
124,PIT,2025-05-31,@,SDP,"W, 5-0",41,38,5,12,7,4,0,1,5,0,0,2,10,.316,.366,.500,.866,19,1,1,0,0,0
125,SDP,2025-05-31,,PIT,"L, 0-5",30,26,0,2,2,0,0,0,0,1,0,3,4,.077,.172,.077,.249,2,2,0,1,0,0
126,SEA,2025-05-31,,MIN,"W, 5-4 (11)",44,40,5,10,6,2,0,2,5,0,1,3,9,.250,.302,.450,.752,18,0,0,1,0,1
127,SFG,2025-05-31,@,MIA,"L, 0-1",38,33,0,8,8,0,0,0,0,1,1,4,8,.242,.342,.242,.585,8,1,1,0,0,0
128,STL,2025-05-31,@,TEX,"W, 2-0",36,31,2,5,3,2,0,0,2,0,0,4,5,.161,.250,.226,.476,7,0,0,0,1,0
129,TBR,2025-05-31,@,HOU,"W, 16-3",48,44,16,18,6,7,0,5,16,1,0,4,12,.409,.458,.909,1.367,40,0,0,0,0,1
130,TEX,2025-05-31,,STL,"L, 0-2",31,29,0,4,4,0,0,0,0,1,1,2,12,.138,.194,.138,.331,4,1,0,0,0,0
131,TOR,2025-05-31,,ATH,"W, 8-7",33,31,8,10,4,2,0,4,7,0,0,2,2,.323,.364,.774,1.138,24,2,0,0,0,0
132,WSN,2025-05-31,@,ARI,"W, 11-7",47,39,11,13,7,5,1,0,11,0,1,3,5,.333,.447,.513,.960,20,0,5,0,0,0
