PlayerID,Pitcher,FullName,CleanName
40391,D. McCaughan,DarrenMcCaughan,darrenmccaughan
34230,W. Castro,WilliCastro,willicastro
31098,M. Perez,MartinPerez,martinperez
4414551,M. Vasil,MikeVasil,mikevasil
4228247,B. Eisert,BrandonEisert,brandoneisert
33856,S. Newcomb,SeanNewcomb,seannewcomb
39674,G. Whitlock,GarrettWhitlock,garrettwhitlock
4326801,C. Criswell,CooperCriswell,coopercriswell
5085743,C. Povich,CadePovich,cadepovich
34874,G. Marquez,GermanMarquez,germanmarquez
4720860,B. Blalock,BradleyBlalock,bradleyblalock
42359,C. Sanchez,CristopherSanchez,cristophersanchez
4630789,O. Kerkering,OrionKerkering,orionkerkering
36063,J. Alvarado,JoseAlvarado,josealvarado
36380,J. Romano,JordanRomano,jordanromano
40921,D. Peterson,DavidPeterson,davidpeterson
4916509,H. Brazoban,HuascarBrazoban,huascarbrazoban
40903,D. Young,DannyYoung,dannyyoung
39875,C. Quantrill,CalQuantrill,calquantrill
5196880,L. Arias,LuarbertArias,luarbertarias
4414525,K. Rocker,KumarRocker,kumarrocker
42457,E. Duran,EzequielDuran,ezequielduran
41172,B. Singer,BradySinger,bradysinger
34928,S. Moll,SamMoll,sammoll
4298378,C. Mlodzinski,CarmenMlodzinski,carmenmlodzinski
42584,D. Rasmussen,DrewRasmussen,drewrasmussen
41386,M. Englert,MasonEnglert,masonenglert
34984,M. Soroka,MichaelSoroka,michaelsoroka
4734325,B. Francis,BowdenFrancis,bowdenfrancis
32151,Ty. Anderson,TylerAnderson,tyleranderson
4326697,R. Detmers,ReidDetmers,reiddetmers
4424931,G. McDaniels,GarrettMcDaniels,garrettmcdaniels
5007859,R. Johnson,RyanJohnson,ryanjohnson
32116,M. Mikolas,MilesMikolas,milesmikolas
5201199,C. Roycroft,ChrisRoycroft,chrisroycroft
39909,R. Helsley,RyanHelsley,ryanhelsley
37909,J. Hicks,JordanHicks,jordanhicks
5000950,R. Walker,RyanWalker,ryanwalker
41829,R. Blanco,RonelBlanco,ronelblanco
5131986,R. Gusto,RyanGusto,ryangusto
32631,R. Montero,RafaelMontero,rafaelmontero
5101355,L. Ortiz,LuisOrtiz,luisortiz
34954,T. McKenzie,TristonMcKenzie,tristonmckenzie
39936,K. Hart,KyleHart,kylehart
4142414,Y. Matsui,YukiMatsui,yukimatsui
4872647,J. Jobe,JacksonJobe,jacksonjobe
40485,B. Hanifee,BrenanHanifee,brenanhanifee
4297897,E. Hancock,EmersonHancock,emersonhancock
41516,B. Brown,BenBrown,benbrown
39816,J. Merryweather,JulianMerryweather,julianmerryweather
4917636,J. Estes,JoeyEstes,joeyestes
33926,J. Leclerc,JoseLeclerc,joseleclerc
40702,J. Pereda,JhonnyPereda,jhonnypereda
33840,G. Holmes,GrantHolmes,grantholmes
29220,J. Chavez,JesseChavez,jessechavez
33618,R. Iglesias,RaiselIglesias,raiseliglesias
33190,T. Glasnow,TylerGlasnow,tylerglasnow
4142421,K. Senga,KodaiSenga,kodaisenga
35241,S. Alcantara,SandyAlcantara,sandyalcantara
31174,N. Eovaldi,NathanEovaldi,nathaneovaldi
5165292,C. Spiers,CarsonSpiers,carsonspiers
39878,C. Burnes,CorbinBurnes,corbinburnes
5132011,W. Warren,WillWarren,willwarren
29705,A. Ottavino,AdamOttavino,adamottavino
4736800,T. Harrington,ThomasHarrington,thomasharrington
39639,S. Baz,ShaneBaz,shanebaz
33305,T. Williams,TrevorWilliams,trevorwilliams
32811,J. Berrios,JoseBerrios,joseberrios
4622501,M. Fluharty,MasonFluharty,masonfluharty
33252,M. Lorenzen,MichaelLorenzen,michaellorenzen
4917865,A. Uribe,AbnerUribe,abneruribe
41383,S. Woods Richardson,SimeonWoods Richardson,simeonwoodsrichardson
3983841,C. Sands,ColeSands,colesands
42604,G. Jax,GriffinJax,griffinjax
5201814,S. Smith,ShaneSmith,shanesmith
33173,K. Hendricks,KyleHendricks,kylehendricks
40916,I. Anderson,IanAnderson,iananderson
41173,M. Liberatore,MatthewLiberatore,matthewliberatore
5006093,K. Leahy,KyleLeahy,kyleleahy
41216,L. Webb,LoganWebb,loganwebb
42996,H. Wesneski,HaydenWesneski,haydenwesneski
4683350,L. Allen,LoganAllen,loganallen
40429,M. King,MichaelKing,michaelking
42421,O. Cruz,OmarCruz,omarcruz
41167,C. Mize,CaseyMize,caseymize
41221,L. Gilbert,LoganGilbert,logangilbert
41392,J. Diaz,JhonathanDiaz,jhonathandiaz
41022,J. Steele,JustinSteele,justinsteele
33263,L. Severino,LuisSeverino,luisseverino
30948,C. Sale,ChrisSale,chrissale
40937,D. May,DustinMay,dustinmay
39635,H. Greene,HunterGreene,huntergreene
4719507,P. Skenes,PaulSkenes,paulskenes
41054,C. Ragans,ColeRagans,coleragans
39825,F. Peralta,FreddyPeralta,freddyperalta
41415,Y. Kikuchi,YuseiKikuchi,yuseikikuchi
32082,S. Gray,SonnyGray,sonnygray
39671,P. Lopez,PabloLopez,pablolopez
4867679,S. Burke,SeanBurke,seanburke
39636,M. Gore,MacKenzieGore,mackenziegore
4993411,E. Lucas,EastonLucas,eastonlucas
41448,A. Perdomo,AngelPerdomo,angelperdomo
4345404,L. Roupp,LandenRoupp,landenroupp
5197166,H. Birdsong,HaydenBirdsong,haydenbirdsong
36581,F. Valdez,FramberValdez,frambervaldez
33194,B. Lively,BenLively,benlively
42409,T. Skubal,TarikSkubal,tarikskubal
39085,J. Brebbia,JohnBrebbia,johnbrebbia
32827,C. Holmes,ClayHolmes,clayholmes
4297835,G. Crochet,GarrettCrochet,garrettcrochet
30442,A. Chapman,AroldisChapman,aroldischapman
32804,Z. Eflin,ZachEflin,zacheflin
31267,Z. Wheeler,ZackWheeler,zackwheeler
39910,Z. Gallen,ZacGallen,zacgallen
33696,C. Rodon,CarlosRodon,carlosrodon
4301067,B. Elder,BryceElder,bryceelder
33748,B. Snell,BlakeSnell,blakesnell
31864,T. Walker,TaijuanWalker,taijuanwalker
4916269,R. Nelson,RyneNelson,rynenelson
33770,L. Weaver,LukeWeaver,lukeweaver
41763,J. King,JohnKing,johnking
33224,D. Williams,DevinWilliams,devinwilliams
42155,Luis F. Castillo,Luis F.Castillo,luisf.castillo
5073992,J. Sanoja,JavierSanoja,javiersanoja
5197473,C. Dana,CadenDana,cadendana
33108,J. Hahn,JesseHahn,jessehahn
4990069,C. Shugart,ChaseShugart,chaseshugart
4905860,L. Gillaspie,LoganGillaspie,logangillaspie
4719068,C. Dollander,ChaseDollander,chasedollander
5123582,G. Graceffo,GordonGraceffo,gordongraceffo
4415836,H. Dobbins,HunterDobbins,hunterdobbins
41042,M. Sauer,MattSauer,mattsauer
30577,R. Stock,RobertStock,robertstock
33816,S. Blewett,ScottBlewett,scottblewett
41127,I. Hamilton,IanHamilton,ianhamilton
40559,T. Gilbert,TylerGilbert,tylergilbert
4417203,J. Wrobleski,JustinWrobleski,justinwrobleski
42434,J. Rutledge,JacksonRutledge,jacksonrutledge
4713488,J. Winckowski,JoshWinckowski,joshwinckowski
31313,P. Corbin,PatrickCorbin,patrickcorbin
42620,N. Mears,NickMears,nickmears
3963340,E. Roberts,EthanRoberts,ethanroberts
5116841,C. Selby,ColinSelby,colinselby
