Game Date,Away Team,Home Team,Away Record,Home Record,Away Score,Home Score,Winning Pitcher,Winning IP,Winning H,Winning ER,Winning K,Winning BB,Losing Pitcher,Losing IP,Losing H,Losing ER,Losing K,Losing BB
2025-04-19,New York Yankees,Tampa Bay Rays,13-8,9-12,8,10,E. Uceta,1.1,1,0,3,0,Y. Gomez,0.0,1,1,0,0
2025-04-19,Washington Nationals,Colorado Rockies,8-12,3-16,12,11,M. Gore,6.0,4,2,13,2,C. Dollander,4.0,9,6,5,2
2025-04-19,Athletics,Milwaukee Brewers,10-11,11-10,3,1,L. Severino,8.0,3,1,1,0,C. Patrick,6.0,7,2,7,0
2025-04-19,San Diego Padres,Houston Astros,15-6,10-10,2,3,T. Scott,2.0,0,0,1,0,J. Estrada,1.1,2,1,0,1
2025-04-19,Minnesota Twins,Atlanta Braves,7-14,7-13,3,4,P. Johnson,0.2,0,0,0,0,S. Woods Richardson,4.1,7,3,3,1
2025-04-19,San Francisco Giants,Los Angeles Angels,14-7,10-10,3,2,L. Roupp,7.0,5,2,9,1,K. Hendricks,5.0,4,3,1,2
2025-04-20,Chicago White Sox,Boston Red Sox,5-16,12-11,8,4,B. Eisert,1.2,1,0,1,0,Z. Kelly,0.0,1,3,0,0
2025-04-20,Cincinnati Reds,Baltimore Orioles,11-11,9-12,24,2,T. Rogers,1.0,0,0,1,0,C. Morton,2.1,7,7,2,4
2025-04-20,Cleveland Guardians,Pittsburgh Pirates,12-9,8-15,5,4,E. Clase,1.0,4,3,0,1,D. Santana,1.0,0,0,0,0
2025-04-20,Miami Marlins,Philadelphia Phillies,9-12,13-9,7,5,C. Faucher,1.0,1,0,0,1,M. Strahm,1.0,2,1,0,0
2025-04-20,Minnesota Twins,Atlanta Braves,7-15,8-13,2,6,G. Holmes,5.2,4,1,7,4,J. Ryan,5.0,8,6,5,1
2025-04-20,Seattle Mariners,Toronto Blue Jays,12-10,12-10,8,3,L. Castillo,5.0,10,3,5,2,E. Lucas,1.2,7,6,5,2
2025-04-20,Kansas City Royals,Detroit Tigers,9-14,13-9,4,3,C. Estevez,2.0,0,0,1,1,T. Holton,2.0,0,0,3,0
2025-04-20,New York Yankees,Tampa Bay Rays,14-8,9-13,4,0,M. Fried,7.2,2,0,2,2,R. Pepiot,6.0,6,3,7,1
2025-04-20,St. Louis Cardinals,New York Mets,9-13,15-7,4,7,J. Butto,1.1,1,0,2,0,J. Romero,0.1,1,1,1,1
2025-04-20,Athletics,Milwaukee Brewers,10-12,12-10,1,14,L. Henderson,6.0,3,1,9,1,J. Springs,2.1,5,4,3,4
2025-04-20,Arizona Diamondbacks,Chicago Cubs,13-9,14-10,3,2,S. Miller,2.0,1,0,2,0,J. Wicks,2.0,3,0,2,0
2025-04-20,Los Angeles Dodgers,Texas Rangers,16-7,13-9,1,0,B. Casparius,1.2,0,0,1,0,C. Martin,1.0,1,1,0,1
2025-04-20,Washington Nationals,Colorado Rockies,9-12,3-17,3,2,J. Irvin,6.1,3,2,9,0,K. Freeland,2.0,3,1,2,1
2025-04-20,San Francisco Giants,Los Angeles Angels,14-8,11-10,4,5,M. Darrell-Hicks,1.2,1,0,1,0,R. Walker,0.1,3,4,1,1
2025-04-20,San Diego Padres,Houston Astros,16-6,10-11,3,2,A. Jacob,1.1,1,0,1,0,T. Scott,0.2,1,1,0,0
2025-04-20,Washington Nationals,Colorado Rockies,9-13,4-17,1,3,A. Senzatela,6.0,6,1,2,1,B. Lord,4.0,5,2,5,2
2025-04-21,Chicago White Sox,Boston Red Sox,5-17,13-11,2,4,W. Buehler,7.0,4,1,9,3,J. Cannon,6.0,6,4,4,4
2025-04-21,New York Yankees,Cleveland Guardians,14-9,13-9,4,6,G. Williams,6.1,7,2,8,2,C. Schmidt,4.0,7,5,7,3
2025-04-21,Cincinnati Reds,Miami Marlins,11-12,10-12,3,6,M. Meyer,6.0,5,0,14,0,N. Lodolo,5.2,7,3,4,2
